"serial","name"
1448,"Portland Ballroom"
1449,"Portland 251"
1450,"Portland 252"
1452,"Portland 255"
1475,"Portland 256"
1454,"D135"
1456,"D136"
1457,"D137/138"
1458,"D139/140"
1470,"E143/144"
1464,"E144"
1465,"E145"
1471,"E145/146"
1466,"E146"
1451,"E147/148"
1587,"D133/135"
1607,"E 141/142"
1459,"F150"
1462,"F151"
1460,"E141"
1461,"E142"
1463,"E143"
1507,"D130"
1520," D135"
1525,"Portland  Ballroom"
1467,"Exhibit Hall D"
1469,"Exhibit Hall C"
1468,"Exhibit Hall E"
1453,"E147 / E148"
1473,"Portland Ballroom Foyer"
1474,"Expo Hall"
1522,"See BoF Schedule Onsite for Locations"
1521,"Offsite"
1523,"On Your Own"
1524,"Expo Hall"
1626,"Puppet Labs Headquarters, 926 Northwest 13th Avenue, #210"
1526,"Exhibit Hall D"
1546,"Expo Hall (Table A)"
1547,"Expo Hall (Table B)"
1548,"Expo Hall (Table C)"
1579,"Expo Hall (Table D)"
1580,"Expo Hall (Table E)"
1596,"Office Hours Expo Hall"
1597,"Author Signings (O&#39;Reilly Booth) "
1549,"Author Signing A"
1606,"123 NE Third St."
1550,"Author Signing B"
1598,"Author Signing C"
1583," Union Pine, 525 SE Pine St."
1584,"F 150"
1585,"Exhibit Hall B"
1574,"Bottom of the stairs by the E Rooms"
1578,"Jupiter Hotel"
